x,value
-10.0,NaN
-9.8,NaN
-9.6,NaN
-9.4,NaN
-9.2,NaN
-9.0,NaN
-8.8,NaN
-8.6,NaN
-8.4,NaN
-8.2,NaN
-8.0,NaN
-7.8,NaN
-7.6,NaN
-7.4,NaN
-7.199999999999999,NaN
-7.0,NaN
-6.8,NaN
-6.6,NaN
-6.4,NaN
-6.199999999999999,NaN
-6.0,NaN
-5.8,NaN
-5.6,NaN
-5.3999999999999995,NaN
-5.199999999999999,NaN
-5.0,NaN
-4.8,NaN
-4.6,NaN
-4.3999999999999995,NaN
-4.199999999999999,NaN
-4.0,NaN
-3.8,NaN
-3.5999999999999996,NaN
-3.3999999999999995,NaN
-3.1999999999999993,NaN
-3.0,NaN
-2.8,NaN
-2.5999999999999996,NaN
-2.3999999999999995,NaN
-2.1999999999999993,NaN
-2.0,NaN
-1.799999999999999,NaN
-1.5999999999999996,NaN
-1.4000000000000004,NaN
-1.1999999999999993,NaN
-1.0,NaN
-0.7999999999999989,NaN
-0.5999999999999996,NaN
-0.3999999999999986,NaN
-0.1999999999999993,NaN
0.0,NaN
0.20000000000000107,-1.609436987178338
0.40000000000000036,-0.9162902507049933
0.6000000000000014,-0.5108247302827357
0.8000000000000007,-0.22314349099899994
1.0,0.0
1.200000000000001,0.18232154203740933
1.4000000000000004,0.3364722140570909
1.6000000000000014,0.47000319795833445
1.8000000000000007,0.5877864625858881
2.0,0.6931470737597851
2.200000000000001,0.7884568521057491
2.4000000000000004,0.8754684771957928
2.6000000000000014,0.9555106023967155
2.8000000000000007,1.029618968941315
3.0,1.098611131435838
3.200000000000001,1.1631501627976257
3.4000000000000004,1.223775043615033
3.6000000000000014,1.2809330028120967
3.8000000000000007,1.3350005431098906
4.0,1.3862933327882905
4.200000000000001,1.4350838646959716
4.4,1.4816033397120378
4.600000000000001,1.5260555082921798
4.800000000000001,1.5686145573406225
5.0,1.6094369871783434
5.200000000000001,1.6486571188250903
5.4,1.686397904012072
5.600000000000001,1.7227649571208108
5.800000000000001,1.7578567499967834
6.0,1.7917577060498306
6.199999999999999,1.8245480129587188
6.400000000000002,1.8562961148648651
6.600000000000001,1.8870682647775168
6.800000000000001,1.9169206335729212
7.0,1.9459086657840114
7.199999999999999,1.9740789525754472
7.400000000000002,2.001478423762915
7.600000000000001,2.028146086426202
7.800000000000001,2.054122069570441
8.0,2.0794393000497546
8.2,2.1041324076110186
8.400000000000002,2.1282293894339075
8.600000000000001,2.1517603788595325
8.8,2.1747493356634733
9.0,2.197222679651267
9.200000000000003,2.2192010336799486
9.400000000000002,2.240707722441952
9.600000000000001,2.2617605879280513
9.8,2.2823803535300162
10.0,2.302582526248131
