x,value
-20.0,72.5859456014643
-19.999,71.23575041580777
-19.998,69.91220390540575
-19.997,68.61472306771678
-19.996,67.34274110036736
-19.995,66.09567242170591
-19.994,64.87311945862736
-19.993,63.67444765085276
-19.992,62.49918304641596
-19.991,61.3468901085917
-19.99,60.21701207224147
-19.989,59.109143786982
-19.988,58.02285671835044
-19.987,56.95757095577368
-19.986,55.91298050916453
-19.985,54.88859938695829
-19.984,53.88399697828842
-19.983,52.89879264245778
-19.982,51.932589766190524
-19.981,50.984976662468696
-19.98,50.055583297595646
-19.979,49.144047533777645
-19.978,48.24998572836631
-19.977,47.37302789925259
-19.976,46.51286073772656
-19.975,45.66912010636111
-19.974,44.8414673641812
-19.973,44.029568759427605
-19.972,43.23312279867906
-19.971,42.45184465670713
-19.97,41.68535699963087
-19.969,40.9334196300441
-19.968,40.19571909779204
-19.967,39.47195268772046
-19.966,38.76185131558125
-19.965,38.06515110115049
-19.964,37.38158964958463
-19.963,36.71088311094991
-19.962,36.052766928298816
-19.961,35.40703213365991
-19.96,34.77338615117066
-19.959,34.15161958242199
-19.958,33.541472648365286
-19.957,32.94274027235805
-19.956,32.35516424563481
-19.955,31.778578985906815
-19.954,31.212687500318246
-19.953,30.657328726677104
-19.952,30.112314261114534
-19.951,29.57739813975797
-19.95,29.05238094871461
-19.949,28.537108175971113
-19.948,28.031353796645703
-19.947,27.53495885355785
-19.946,27.047721206295375
-19.945,26.569448102853634
-19.944,26.099993755038373
-19.943,25.639188024961648
-19.942,25.186843923738948
-19.941,24.74280307524596
-19.94,24.306903757457953
-19.939,23.878990507644765
-19.938,23.45892236738776
-19.937,23.046512237331125
-19.936,22.64164582540372
-19.935,22.24416097536342
-19.934,21.853933415066514
-19.933,21.47080401738795
-19.932,21.09464063281461
-19.931,20.725312514710215
-19.93,20.36269755321881
-19.929,20.00665931190523
-19.928,19.65707972984007
-19.927,19.313806962266273
-19.926,18.97676447907624
-19.925,18.645796393316864
-19.924,18.320811607292676
-19.923,18.001683232533672
-19.922,17.688308317553986
-19.921,17.38057055485319
-19.92,17.078377350266297
-19.919,16.78161021641661
-19.918,16.490172810884044
-19.917,16.20395458999584
-19.916,15.922871447070515
-19.915,15.646812817424916
-19.914,15.375700831845405
-19.913,15.109438049022087
-19.912,14.847928170350157
-19.911,14.591073929083635
-19.91,14.33881184684507
-19.909,14.091040717390312
-19.908,13.84767786114163
-19.907,13.60864111955482
-19.906,13.373856373076407
-19.905,13.143235201502817
-19.904,12.916712769797941
-19.903,12.694197347374562
-19.902,12.475624846008314
-19.901,12.260922107270224
-19.9,12.05001393352892
-19.899,11.842834754467702
-19.898,11.639314006636242
-19.897,11.439381830962793
-19.896,11.242972237867876
-19.895,11.050024321505195
-19.894,10.86047370920564
-19.893,10.674255783696767
-19.892,10.491314740470731
-19.891,10.311579077868544
-19.89,10.135001740180792
-19.889,9.961522751089044
-19.888,9.791084791707831
-19.887,9.623624964483293
-19.886,9.45910347124643
-19.885,9.29745432877754
-19.884,9.13863540019242
-19.883,8.982580388571222
-19.882,8.829256369935246
-19.881,8.678605670791367
-19.88,8.530579017455285
-19.879,8.385128001756486
-19.878,8.242214784962549
-19.877,8.10178199455981
-19.876,7.963791838046354
-19.875,7.828200584033776
-19.874,7.694961620036764
-19.873,7.564032539098592
-19.872,7.435375983549529
-19.871,7.308948806534498
-19.87,7.184710581892998
-19.869,7.0626186758622564
-19.868,6.9426404360881
-19.867,6.824742378935724
-19.866,6.7088727503915
-19.865,6.595008703122415
-19.864,6.483105443181282
-19.863,6.373133185227223
-19.862,6.265056846579755
-19.861,6.15884523338868
-19.86,6.0544579306895905
-19.859,5.951868293660893
-19.858,5.8510430684375905
-19.857,5.751948893689714
-19.856,5.654558251260205
-19.855,5.558840048848576
-19.854,5.464765123444483
-19.853,5.372301820472849
-19.852,5.281425141322687
-19.851,5.1921045413012035
-19.85,5.104316469493501
-19.849,5.018027374303504
-19.848,4.933215670619344
-19.847,4.849855863298989
-19.846,4.767920548820687
